Input Size	Execution Time
10	0.0010000000
10	0.0010000000
10	0.0000000000
10	0.0010000000
10	0.0010000000
10	0.0010000000
10	0.0010000000
10	0.0010000000
10	0.0010000000
10	0.0000000000
10	0.0010000000
10	0.0010000000
10	0.0000000000
10	0.0010000000
10	0.0010000000
10	0.0010000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0010000000
10	0.0000000000
10	0.0010000000
10	0.0010000000
10	0.0000000000
10	0.0010000000
10	0.0000000000
10	0.0010000000
10	0.0010000000
10	0.0000000000
10	0.0010000000
10	0.0010000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0010000000
10	0.0000000000
10	0.0000000000
10	0.0010000000
10	0.0010000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0010000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0010000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0010000000
10	0.0010000000
10	0.0010000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0010000000
10	0.0000000000
10	0.0010000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0010000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0010000000
10	0.0010000000
10	0.0010000000
10	0.0010000000
10	0.0000000000
10	0.0010000000
10	0.0000000000
10	0.0000000000
10	0.0010000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0010000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0010000000
10	0.0010000000
10	0.0010000000
100	0.0120000001
100	0.0130000003
100	0.0130000003
100	0.0130000003
100	0.0130000003
100	0.0130000003
100	0.0120000001
100	0.0120000001
100	0.0130000003
100	0.0130000003
100	0.0120000001
100	0.0130000003
100	0.0120000001
100	0.0130000003
100	0.0120000001
